                              24 May 2018 18:54:38
Aircraft-Aircraft1


Time (EpSec)    Lat (deg)    Lon (deg)    Alt (km)
   10380.000      -25.252      158.937    3.048000
   10410.000      -25.240      158.956    3.048000
   10440.000      -25.228      158.975    3.048000
   10470.000      -25.217      158.994    3.048000
   10500.000      -25.205      159.013    3.048000
   10530.000      -25.194      159.032    3.048000
   10560.000      -25.182      159.051    3.048000
   10590.000      -25.170      159.070    3.048000
   10620.000      -25.159      159.089    3.048000
   10650.000      -25.147      159.109    3.048000
   10680.000      -25.135      159.128    3.048000
   10710.000      -25.124      159.147    3.048000
   10740.000      -25.112      159.166    3.048000
   10770.000      -25.100      159.185    3.048000
   10800.000      -25.089      159.204    3.048000
   10830.000      -25.077      159.223    3.048000
   10860.000      -25.066      159.242    3.048000
   10890.000      -25.054      159.261    3.048000
   10920.000      -25.042      159.280    3.048000
   10950.000      -25.031      159.299    3.048000
   10980.000      -25.019      159.318    3.048000
   11010.000      -25.007      159.337    3.048000
   11040.000      -24.996      159.356    3.048000
   11070.000      -24.984      159.375    3.048000
   11100.000      -24.972      159.394    3.048000
   11130.000      -24.961      159.413    3.048000
   11160.000      -24.949      159.432    3.048000
   11190.000      -24.937      159.451    3.048000
   11220.000      -24.926      159.470    3.048000
   11250.000      -24.914      159.489    3.048000
   11280.000      -24.902      159.508    3.048000
   11310.000      -24.890      159.527    3.048000
   11340.000      -24.879      159.546    3.048000
   11370.000      -24.867      159.565    3.048000
   11400.000      -24.855      159.584    3.048000
   11430.000      -24.844      159.603    3.048000
   11460.000      -24.832      159.622    3.048000
   11490.000      -24.820      159.641    3.048000
   11520.000      -24.809      159.660    3.048000
   11550.000      -24.797      159.679    3.048000
   11580.000      -24.785      159.698    3.048000
   11610.000      -24.773      159.717    3.048000
   11640.000      -24.762      159.736    3.048000
   11670.000      -24.750      159.754    3.048000
   11700.000      -24.738      159.773    3.048000
   11730.000      -24.727      159.792    3.048000
   11760.000      -24.715      159.811    3.048000
   11790.000      -24.703      159.830    3.048000
   11820.000      -24.691      159.849    3.048000
   11850.000      -24.680      159.868    3.048000
   11880.000      -24.668      159.887    3.048000
   11910.000      -24.656      159.906    3.048000
   11940.000      -24.644      159.925    3.048000
   11970.000      -24.633      159.944    3.048000
   12000.000      -24.621      159.963    3.048000
   12030.000      -24.609      159.981    3.048000
   12060.000      -24.598      160.000    3.048000
   12090.000      -24.586      160.019    3.048000
   12120.000      -24.574      160.038    3.048000
   12150.000      -24.562      160.057    3.048000
   12180.000      -24.551      160.076    3.048000
   12210.000      -24.539      160.095    3.048000
   12240.000      -24.527      160.114    3.048000
   12270.000      -24.515      160.133    3.048000
   12300.000      -24.503      160.151    3.048000
   12330.000      -24.492      160.170    3.048000
   12360.000      -24.480      160.189    3.048000
   12390.000      -24.468      160.208    3.048000
   12420.000      -24.456      160.227    3.048000
   12450.000      -24.445      160.246    3.048000
   12480.000      -24.433      160.265    3.048000
   12510.000      -24.421      160.283    3.048000
   12540.000      -24.409      160.302    3.048000
   12570.000      -24.397      160.321    3.048000
   12600.000      -24.386      160.340    3.048000
   12630.000      -24.374      160.359    3.048000
   12660.000      -24.362      160.378    3.048000
   12690.000      -24.350      160.396    3.048000
   12720.000      -24.338      160.415    3.048000
   12750.000      -24.327      160.434    3.048000
   12780.000      -24.315      160.453    3.048000
   12810.000      -24.303      160.472    3.048000
   12840.000      -24.291      160.490    3.048000
   12870.000      -24.279      160.509    3.048000
   12900.000      -24.268      160.528    3.048000
   12930.000      -24.256      160.547    3.048000
   12960.000      -24.244      160.566    3.048000
   12990.000      -24.232      160.584    3.048000
   13020.000      -24.220      160.603    3.048000
   13050.000      -24.209      160.622    3.048000
   13080.000      -24.197      160.641    3.048000
   13110.000      -24.185      160.659    3.048000
   13140.000      -24.173      160.678    3.048000
   13170.000      -24.161      160.697    3.048000
   13200.000      -24.149      160.716    3.048000
   13230.000      -24.138      160.735    3.048000
   13260.000      -24.126      160.753    3.048000
   13290.000      -24.114      160.772    3.048000
   13320.000      -24.102      160.791    3.048000
   13350.000      -24.090      160.810    3.048000
   13380.000      -24.078      160.828    3.048000
   13410.000      -24.066      160.847    3.048000
   13440.000      -24.055      160.866    3.048000
   13470.000      -24.043      160.884    3.048000
   13500.000      -24.031      160.903    3.048000
   13530.000      -24.019      160.922    3.048000
   13560.000      -24.007      160.941    3.048000
   13590.000      -23.995      160.959    3.048000
   13620.000      -23.983      160.978    3.048000
   13650.000      -23.972      160.997    3.048000
   13680.000      -23.960      161.015    3.048000
   13710.000      -23.948      161.034    3.048000
   13740.000      -23.936      161.053    3.048000
   13770.000      -23.924      161.072    3.048000
   13800.000      -23.912      161.090    3.048000
   13830.000      -23.900      161.109    3.048000
   13860.000      -23.888      161.128    3.048000
   13890.000      -23.877      161.146    3.048000
   13920.000      -23.865      161.165    3.048000
   13950.000      -23.853      161.184    3.048000
   13980.000      -23.841      161.202    3.048000
   14010.000      -23.829      161.221    3.048000
   14040.000      -23.817      161.240    3.048000
   14070.000      -23.805      161.258    3.048000
   14100.000      -23.793      161.277    3.048000
   14130.000      -23.781      161.296    3.048000
   14160.000      -23.769      161.314    3.048000
   14190.000      -23.758      161.333    3.048000
   14220.000      -23.746      161.352    3.048000
   14250.000      -23.734      161.370    3.048000
   14280.000      -23.722      161.389    3.048000
   14310.000      -23.710      161.408    3.048000
   14340.000      -23.698      161.426    3.048000
   14370.000      -23.686      161.445    3.048000
   14400.000      -23.674      161.463    3.048000
   14430.000      -23.662      161.482    3.048000
   14460.000      -23.650      161.501    3.048000
   14490.000      -23.638      161.519    3.048000
   14520.000      -23.626      161.538    3.048000
   14550.000      -23.614      161.556    3.048000
   14580.000      -23.602      161.575    3.048000
   14610.000      -23.591      161.594    3.048000
   14640.000      -23.579      161.612    3.048000
   14670.000      -23.567      161.631    3.048000
   14700.000      -23.555      161.649    3.048000
   14730.000      -23.543      161.668    3.048000
   14760.000      -23.531      161.687    3.048000
   14790.000      -23.519      161.705    3.048000
   14820.000      -23.507      161.724    3.048000
   14850.000      -23.495      161.742    3.048000
   14880.000      -23.483      161.761    3.048000
   14910.000      -23.471      161.780    3.048000
   14940.000      -23.459      161.798    3.048000
   14970.000      -23.447      161.817    3.048000
   15000.000      -23.435      161.835    3.048000
   15030.000      -23.423      161.854    3.048000
   15060.000      -23.411      161.872    3.048000
   15090.000      -23.399      161.891    3.048000
   15120.000      -23.387      161.909    3.048000
   15150.000      -23.375      161.928    3.048000
   15180.000      -23.363      161.946    3.048000
   15210.000      -23.351      161.965    3.048000
   15240.000      -23.339      161.984    3.048000
   15270.000      -23.327      162.002    3.048000
   15300.000      -23.315      162.021    3.048000
   15330.000      -23.303      162.039    3.048000
   15360.000      -23.291      162.058    3.048000
   15390.000      -23.279      162.076    3.048000
   15420.000      -23.267      162.095    3.048000
   15450.000      -23.255      162.113    3.048000
   15480.000      -23.243      162.132    3.048000
   15510.000      -23.231      162.150    3.048000
   15540.000      -23.219      162.169    3.048000
   15570.000      -23.207      162.187    3.048000
   15600.000      -23.195      162.206    3.048000
   15630.000      -23.183      162.224    3.048000
   15660.000      -23.171      162.243    3.048000
   15690.000      -23.159      162.261    3.048000
   15720.000      -23.147      162.280    3.048000
   15750.000      -23.135      162.298    3.048000
   15780.000      -23.123      162.317    3.048000
   15810.000      -23.111      162.335    3.048000
   15840.000      -23.099      162.353    3.048000
   15870.000      -23.087      162.372    3.048000
   15900.000      -23.075      162.390    3.048000
   15930.000      -23.063      162.409    3.048000
   15960.000      -23.051      162.427    3.048000
   15990.000      -23.039      162.446    3.048000
   16020.000      -23.027      162.464    3.048000
   16050.000      -23.015      162.483    3.048000
   16080.000      -23.003      162.501    3.048000
   16110.000      -22.991      162.520    3.048000
   16140.000      -22.979      162.538    3.048000
   16170.000      -22.966      162.556    3.048000
   16200.000      -22.954      162.575    3.048000
   16230.000      -22.942      162.593    3.048000
   16260.000      -22.930      162.612    3.048000
   16290.000      -22.918      162.630    3.048000
   16320.000      -22.906      162.648    3.048000
   16350.000      -22.894      162.667    3.048000
   16380.000      -22.882      162.685    3.048000
   16410.000      -22.870      162.704    3.048000
   16440.000      -22.858      162.722    3.048000
   16470.000      -22.846      162.741    3.048000
   16500.000      -22.834      162.759    3.048000
   16530.000      -22.822      162.777    3.048000
   16560.000      -22.810      162.796    3.048000
   16590.000      -22.797      162.814    3.048000
   16620.000      -22.785      162.832    3.048000
   16650.000      -22.773      162.851    3.048000
   16680.000      -22.761      162.869    3.048000
   16710.000      -22.749      162.888    3.048000
   16740.000      -22.737      162.906    3.048000
   16770.000      -22.725      162.924    3.048000
   16800.000      -22.713      162.943    3.048000
   16830.000      -22.701      162.961    3.048000
   16860.000      -22.689      162.979    3.048000
   16890.000      -22.676      162.998    3.048000
   16920.000      -22.664      163.016    3.048000
   16950.000      -22.652      163.034    3.048000
   16980.000      -22.640      163.053    3.048000
   17010.000      -22.628      163.071    3.048000
   17040.000      -22.616      163.089    3.048000
   17070.000      -22.604      163.108    3.048000
   17100.000      -22.592      163.126    3.048000
   17130.000      -22.580      163.144    3.048000
   17160.000      -22.567      163.163    3.048000
   17190.000      -22.555      163.181    3.048000
   17220.000      -22.543      163.199    3.048000
   17250.000      -22.531      163.218    3.048000
   17280.000      -22.519      163.236    3.048000
   17310.000      -22.507      163.254    3.048000
   17340.000      -22.495      163.273    3.048000
   17370.000      -22.482      163.291    3.048000
   17400.000      -22.470      163.309    3.048000
   17430.000      -22.458      163.328    3.048000
   17460.000      -22.446      163.346    3.048000
   17490.000      -22.434      163.364    3.048000
   17520.000      -22.422      163.382    3.048000
   17550.000      -22.410      163.401    3.048000
   17580.000      -22.397      163.419    3.048000
   17610.000      -22.385      163.437    3.048000
   17640.000      -22.373      163.455    3.048000
   17670.000      -22.361      163.474    3.048000
   17700.000      -22.349      163.492    3.048000
   17730.000      -22.337      163.510    3.048000
   17760.000      -22.324      163.529    3.048000
   17790.000      -22.312      163.547    3.048000
   17820.000      -22.300      163.565    3.048000
   17850.000      -22.288      163.583    3.048000
   17880.000      -22.276      163.602    3.048000
   17910.000      -22.264      163.620    3.048000
   17940.000      -22.251      163.638    3.048000
   17970.000      -22.239      163.656    3.048000
   18000.000      -22.227      163.675    3.048000
   18030.000      -22.215      163.693    3.048000
   18060.000      -22.203      163.711    3.048000
   18090.000      -22.190      163.729    3.048000
   18120.000      -22.178      163.747    3.048000
   18150.000      -22.166      163.766    3.048000
   18180.000      -22.154      163.784    3.048000
   18210.000      -22.142      163.802    3.048000
   18240.000      -22.129      163.820    3.048000
   18270.000      -22.117      163.838    3.048000
   18300.000      -22.105      163.857    3.048000
   18330.000      -22.093      163.875    3.048000
   18360.000      -22.081      163.893    3.048000
   18390.000      -22.068      163.911    3.048000
   18420.000      -22.056      163.929    3.048000
   18450.000      -22.044      163.948    3.048000
   18480.000      -22.032      163.966    3.048000
   18510.000      -22.020      163.984    3.048000
   18540.000      -22.007      164.002    3.048000
   18570.000      -21.995      164.020    3.048000
   18600.000      -21.983      164.039    3.048000
   18630.000      -21.971      164.057    3.048000
   18660.000      -21.958      164.075    3.048000
   18690.000      -21.946      164.093    3.048000
   18720.000      -21.934      164.111    3.048000
   18750.000      -21.922      164.129    3.048000
   18780.000      -21.910      164.147    3.048000
   18810.000      -21.897      164.166    3.048000
   18840.000      -21.885      164.184    3.048000
   18870.000      -21.873      164.202    3.048000
   18900.000      -21.861      164.220    3.048000
   18930.000      -21.848      164.238    3.048000
   18960.000      -21.836      164.256    3.048000
   18990.000      -21.824      164.274    3.048000
   19020.000      -21.812      164.293    3.048000
   19050.000      -21.799      164.311    3.048000
   19080.000      -21.787      164.329    3.048000
   19110.000      -21.775      164.347    3.048000
   19140.000      -21.763      164.365    3.048000
   19170.000      -21.750      164.383    3.048000
   19200.000      -21.738      164.401    3.048000
   19230.000      -21.726      164.419    3.048000
   19260.000      -21.713      164.438    3.048000
   19290.000      -21.701      164.456    3.048000
   19320.000      -21.689      164.474    3.048000
   19350.000      -21.677      164.492    3.048000
   19380.000      -21.664      164.510    3.048000
   19410.000      -21.652      164.528    3.048000
   19440.000      -21.640      164.546    3.048000
   19470.000      -21.628      164.564    3.048000
   19500.000      -21.615      164.582    3.048000
   19530.000      -21.603      164.600    3.048000
   19560.000      -21.591      164.618    3.048000
   19590.000      -21.578      164.636    3.048000
   19620.000      -21.566      164.655    3.048000
   19650.000      -21.554      164.673    3.048000
   19680.000      -21.541      164.691    3.048000
   19710.000      -21.529      164.709    3.048000
   19740.000      -21.517      164.727    3.048000
   19770.000      -21.505      164.745    3.048000
   19800.000      -21.492      164.763    3.048000
   19830.000      -21.480      164.781    3.048000
   19860.000      -21.468      164.799    3.048000
   19890.000      -21.455      164.817    3.048000
   19920.000      -21.443      164.835    3.048000
   19950.000      -21.431      164.853    3.048000
   19980.000      -21.418      164.871    3.048000
   20010.000      -21.406      164.889    3.048000
   20040.000      -21.394      164.907    3.048000
   20070.000      -21.381      164.925    3.048000
   20100.000      -21.369      164.943    3.048000
   20130.000      -21.357      164.961    3.048000
   20160.000      -21.344      164.979    3.048000
   20190.000      -21.332      164.997    3.048000
   20220.000      -21.320      165.015    3.048000
   20250.000      -21.307      165.033    3.048000
   20280.000      -21.295      165.051    3.048000
   20310.000      -21.283      165.069    3.048000
   20340.000      -21.270      165.087    3.048000
   20370.000      -21.258      165.105    3.048000
   20400.000      -21.246      165.123    3.048000
   20430.000      -21.233      165.141    3.048000
   20460.000      -21.221      165.159    3.048000
   20490.000      -21.209      165.177    3.048000
   20520.000      -21.196      165.195    3.048000
   20550.000      -21.184      165.213    3.048000
   20580.000      -21.172      165.231    3.048000
   20610.000      -21.159      165.249    3.048000
